id,date,TimeGPT
FOODS_3_538_WI_2_evaluation,2016-05-21,1.85515
FOODS_3_538_WI_2_evaluation,2016-05-22,1.7423227
FOODS_3_730_WI_2_evaluation,2016-05-09,2.1560864
FOODS_3_730_WI_2_evaluation,2016-05-10,2.1486254
FOODS_3_730_WI_2_evaluation,2016-05-11,2.2110507
FOODS_3_730_WI_2_evaluation,2016-05-12,2.6069121
FOODS_3_730_WI_2_evaluation,2016-05-13,3.230118
FOODS_3_730_WI_2_evaluation,2016-05-14,3.4643984
FOODS_3_730_WI_2_evaluation,2016-05-15,2.5293403
FOODS_3_730_WI_2_evaluation,2016-05-16,2.1631181
FOODS_3_730_WI_2_evaluation,2016-05-17,1.9139178
FOODS_3_730_WI_2_evaluation,2016-05-18,2.0878356
FOODS_3_730_WI_2_evaluation,2016-05-19,2.6014597
FOODS_3_730_WI_2_evaluation,2016-05-20,3.128572
FOODS_3_730_WI_2_evaluation,2016-05-21,3.1500962
FOODS_3_730_WI_2_evaluation,2016-05-22,2.4886055
FOODS_3_794_CA_4_evaluation,2016-05-09,0.7291497
FOODS_3_794_CA_4_evaluation,2016-05-10,0.8180235
FOODS_3_794_CA_4_evaluation,2016-05-11,0.78636646
FOODS_3_794_CA_4_evaluation,2016-05-12,0.74632484
FOODS_3_794_CA_4_evaluation,2016-05-13,0.8404789
FOODS_3_794_CA_4_evaluation,2016-05-14,0.9549794
FOODS_3_794_CA_4_evaluation,2016-05-15,0.7862051
FOODS_3_794_CA_4_evaluation,2016-05-16,0.8037363
FOODS_3_794_CA_4_evaluation,2016-05-17,0.75464785
FOODS_3_794_CA_4_evaluation,2016-05-18,0.76352197
FOODS_3_794_CA_4_evaluation,2016-05-19,0.79232585
FOODS_3_794_CA_4_evaluation,2016-05-20,0.84221786
FOODS_3_794_CA_4_evaluation,2016-05-21,0.848128
FOODS_3_794_CA_4_evaluation,2016-05-22,0.82529956
HOBBIES_1_075_WI_2_evaluation,2016-05-09,0.12343243
HOBBIES_1_075_WI_2_evaluation,2016-05-10,0.13649315
HOBBIES_1_075_WI_2_evaluation,2016-05-11,0.13646726
HOBBIES_1_075_WI_2_evaluation,2016-05-12,0.14967062
HOBBIES_1_075_WI_2_evaluation,2016-05-13,0.20977521
HOBBIES_1_075_WI_2_evaluation,2016-05-14,0.2574094
HOBBIES_1_075_WI_2_evaluation,2016-05-15,0.15341544
HOBBIES_1_075_WI_2_evaluation,2016-05-16,0.14239341
HOBBIES_1_075_WI_2_evaluation,2016-05-17,0.09220885
HOBBIES_1_075_WI_2_evaluation,2016-05-18,0.114656776
HOBBIES_1_075_WI_2_evaluation,2016-05-19,0.1585979
HOBBIES_1_075_WI_2_evaluation,2016-05-20,0.19848011
HOBBIES_1_075_WI_2_evaluation,2016-05-21,0.19935259
HOBBIES_1_075_WI_2_evaluation,2016-05-22,0.15471809
HOBBIES_1_174_TX_3_evaluation,2016-05-09,0.27544966
HOBBIES_1_174_TX_3_evaluation,2016-05-10,0.265221
HOBBIES_1_174_TX_3_evaluation,2016-05-11,0.24300683
HOBBIES_1_174_TX_3_evaluation,2016-05-12,0.25783944
HOBBIES_1_174_TX_3_evaluation,2016-05-13,0.3116988
HOBBIES_1_174_TX_3_evaluation,2016-05-14,0.3472682
HOBBIES_1_174_TX_3_evaluation,2016-05-15,0.2874019
HOBBIES_1_174_TX_3_evaluation,2016-05-16,0.29444328
HOBBIES_1_174_TX_3_evaluation,2016-05-17,0.22294222
HOBBIES_1_174_TX_3_evaluation,2016-05-18,0.22068223
HOBBIES_1_174_TX_3_evaluation,2016-05-19,0.26429886
HOBBIES_1_174_TX_3_evaluation,2016-05-20,0.28135592
HOBBIES_1_174_TX_3_evaluation,2016-05-21,0.2889024
HOBBIES_1_174_TX_3_evaluation,2016-05-22,0.2733764
HOBBIES_1_381_CA_1_evaluation,2016-05-09,3.410966
HOBBIES_1_381_CA_1_evaluation,2016-05-10,3.5550838
HOBBIES_1_381_CA_1_evaluation,2016-05-11,3.3227773
HOBBIES_1_381_CA_1_evaluation,2016-05-12,3.4397087
HOBBIES_1_381_CA_1_evaluation,2016-05-13,4.000972
HOBBIES_1_381_CA_1_evaluation,2016-05-14,4.544969
HOBBIES_1_381_CA_1_evaluation,2016-05-15,3.7729611
HOBBIES_1_381_CA_1_evaluation,2016-05-16,3.7636962
HOBBIES_1_381_CA_1_evaluation,2016-05-17,3.1102467
HOBBIES_1_381_CA_1_evaluation,2016-05-18,3.2288284
HOBBIES_1_381_CA_1_evaluation,2016-05-19,3.747054
HOBBIES_1_381_CA_1_evaluation,2016-05-20,3.9409785
HOBBIES_1_381_CA_1_evaluation,2016-05-21,3.9480362
HOBBIES_1_381_CA_1_evaluation,2016-05-22,3.9954581
HOUSEHOLD_1_251_CA_3_evaluation,2016-05-09,2.7035716
HOUSEHOLD_1_251_CA_3_evaluation,2016-05-10,2.2848835
HOUSEHOLD_1_251_CA_3_evaluation,2016-05-11,2.0903304
HOUSEHOLD_1_251_CA_3_evaluation,2016-05-12,2.1286204
HOUSEHOLD_1_251_CA_3_evaluation,2016-05-13,2.477682
HOUSEHOLD_1_251_CA_3_evaluation,2016-05-14,3.0394716
HOUSEHOLD_1_251_CA_3_evaluation,2016-05-15,2.668697
HOUSEHOLD_1_251_CA_3_evaluation,2016-05-16,2.7647517
HOUSEHOLD_1_251_CA_3_evaluation,2016-05-17,1.9735389
HOUSEHOLD_1_251_CA_3_evaluation,2016-05-18,1.8904192
HOUSEHOLD_1_251_CA_3_evaluation,2016-05-19,2.1501935
HOUSEHOLD_1_251_CA_3_evaluation,2016-05-20,2.3321033
HOUSEHOLD_1_251_CA_3_evaluation,2016-05-21,2.6353524
HOUSEHOLD_1_251_CA_3_evaluation,2016-05-22,2.6763337
HOUSEHOLD_1_354_WI_1_evaluation,2016-05-09,0.8253826
HOUSEHOLD_1_354_WI_1_evaluation,2016-05-10,0.8509185
HOUSEHOLD_1_354_WI_1_evaluation,2016-05-11,0.78085005
HOUSEHOLD_1_354_WI_1_evaluation,2016-05-12,0.85395294
HOUSEHOLD_1_354_WI_1_evaluation,2016-05-13,1.0086361
HOUSEHOLD_1_354_WI_1_evaluation,2016-05-14,1.2372061
HOUSEHOLD_1_354_WI_1_evaluation,2016-05-15,1.1048937
HOUSEHOLD_1_354_WI_1_evaluation,2016-05-16,0.94011116
HOUSEHOLD_1_354_WI_1_evaluation,2016-05-17,0.7878141
HOUSEHOLD_1_354_WI_1_evaluation,2016-05-18,0.73597217
HOUSEHOLD_1_354_WI_1_evaluation,2016-05-19,0.915221
HOUSEHOLD_1_354_WI_1_evaluation,2016-05-20,1.0190436
HOUSEHOLD_1_354_WI_1_evaluation,2016-05-21,1.1401676
HOUSEHOLD_1_354_WI_1_evaluation,2016-05-22,1.1436886
